date,route_name,value,unit,quality_level,p25,p50,p75,p85,p90,p95,p99,wow_pct,z_score,up_streak_weeks,warning_tags,warning_level,source_note
2026-06-05,欧洲航线,2605.0,USD/TEU,A_official,1472.25,1550.38,1618.56,1648.44,1678.12,1784.5,1882.75,36.75,8.32,5,P95高位;Z≥2异常;连续上涨≥3周,红色预警,上海航运交易所2026-06-05发布；航运界/港口网转载
2026-06-05,地中海航线,3832.0,USD/TEU,A_official,2304.52,2432.75,2675.65,2891.35,3071.1,3144.5,3191.5,19.49,4.28,5,P95高位;Z≥2异常;连续上涨≥3周,红色预警,上海航运交易所2026-06-05发布；航运界/港口网转载
2026-06-05,美西航线,4552.0,USD/FEU,A_official,1924.88,2134.75,2510.5,2635.5,2766.0,3045.0,3145.0,44.32,5.64,5,P95高位;Z≥2异常;连续上涨≥3周,红色预警,上海航运交易所2026-06-05发布；航运界/港口网转载
2026-06-05,美东航线,5741.0,USD/FEU,A_official,2707.44,2964.38,3468.33,3610.75,3751.5,4121.0,4290.75,33.11,5.12,5,P95高位;Z≥2异常;连续上涨≥3周,红色预警,上海航运交易所2026-06-05发布；航运界/港口网转载
2026-06-05,SCFI综合指数,2726.48,points,A_official,1415.49,1592.02,1863.82,1895.93,1932.8,2094.05,2198.78,22.92,4.18,5,P95高位;Z≥2异常;连续上涨≥3周,红色预警,上海航运交易所2026-06-05发布；航运界/港口网转载
