date,route_name,value,unit,quality_level,p25,p50,p75,p85,p90,p95,p99,wow_pct,z_score,up_streak_weeks,warning_tags,warning_level,source_note
2026-06-12,欧洲航线,2852.0,USD/TEU,B_public_excerpt,1478.0,1553.75,1627.38,1668.62,1740.4,1878.3,2423.0,9.48,5.38,6,P95高位;Z≥2异常;连续上涨≥3周,红色预警,综合指数来自上海航交所官网2026-06-12；分航线基于6月5日真实分航线数据按综合指数涨幅比例推算（2985.22/2726.48=1.095）
2026-06-12,地中海航线,4196.0,USD/TEU,B_public_excerpt,2308.53,2441.5,2772.3,3013.58,3143.8,3188.4,3669.5,9.5,4.19,6,P95高位;Z≥2异常;连续上涨≥3周,红色预警,综合指数来自上海航交所官网2026-06-12；分航线基于6月5日真实分航线数据按综合指数涨幅比例推算（2985.22/2726.48=1.095）
2026-06-12,美西航线,4984.0,USD/FEU,B_public_excerpt,1947.25,2136.0,2569.0,2718.0,2942.8,3143.2,4188.52,9.49,4.47,6,P95高位;Z≥2异常;连续上涨≥3周,红色预警,综合指数来自上海航交所官网2026-06-12；分航线基于6月5日真实分航线数据按综合指数涨幅比例推算（2985.22/2726.48=1.095）
2026-06-12,美东航线,6286.0,USD/FEU,B_public_excerpt,2744.12,2964.5,3544.0,3703.1,3976.8,4286.3,5369.72,9.49,4.34,6,P95高位;Z≥2异常;连续上涨≥3周,红色预警,综合指数来自上海航交所官网2026-06-12；分航线基于6月5日真实分航线数据按综合指数涨幅比例推算（2985.22/2726.48=1.095）
2026-06-12,SCFI综合指数,2985.22,points,B_public_excerpt,1427.86,1595.63,1880.9,1915.68,2028.79,2194.9,2594.31,9.49,3.98,6,P95高位;Z≥2异常;连续上涨≥3周,红色预警,综合指数来自上海航交所官网2026-06-12；分航线基于6月5日真实分航线数据按综合指数涨幅比例推算（2985.22/2726.48=1.095）
